create|grassland|10
update|cells|21.4;22.4;22.4;22.4;22.4;21.4;21.4;20.4;20.4;20.4;21.4;22.4;22.4;22.4;22.4;22.4;21.4;20.4;22.4;21.4;22.4;22.4;22.4;22.4;22.4;21.4;22.4;22.4;21.4;22.4;22.4;22.4;22.4;22.4;22.4;21.4;22.4;22.4;22.4;21.4;20.4;19.4;21.4;22.4;22.4;22.4;21.4;22.4;22.4;20.4;20.4;21.4;22.4;22.4;21.4;22.4;21.4;22.4;21.4;20.4;22.4;22.4;22.4;22.4;22.4;20.4;22.4;21.4;21.4;22.4;22.4;22.4;22.4;22.4;22.4;21.4;22.4;20.4;22.4;21.4;22.4;21.4;21.4;19.4;21.4;21.4;21.4;22.4;21.4;22.4;21.4;21.4;21.4;21.4;21.4;20.4;21.4;21.4;21.4;22.4;
update|animal|3;9;1;7
update|animal|1;24;1;36
update|animal|4;9;1;49
update|animal|2;24;1;99
update|cells|21.5;22.5;22.5;22.5;22.5;21.5;21.5;19.5;20.5;20.5;21.5;22.5;22.5;22.5;22.5;22.5;21.5;20.5;22.5;21.5;22.5;22.5;22.5;22.5;22.5;21.5;22.5;22.5;21.5;22.5;22.5;22.5;22.5;22.5;22.5;21.5;21.5;22.5;22.5;21.5;20.5;19.5;21.5;22.5;22.5;22.5;21.5;22.5;22.5;19.5;20.5;21.5;22.5;22.5;21.5;22.5;21.5;22.5;21.5;20.5;22.5;22.5;22.5;22.5;22.5;20.5;22.5;21.5;21.5;22.5;22.5;22.5;22.5;22.5;22.5;21.5;22.5;20.5;22.5;21.5;22.5;21.5;21.5;19.5;21.5;21.5;21.5;22.5;21.5;22.5;21.5;21.5;21.5;21.5;21.5;20.5;21.5;21.5;21.5;21.5;
update|animal|3;10;1;16
update|animal|1;25;1;35
update|animal|4;10;1;38
update|animal|2;25;1;0
